datetime,machineID,failure
1/5/2015 6:00:00 AM,1,comp4
3/6/2015 6:00:00 AM,1,comp1
4/20/2015 6:00:00 AM,1,comp2
6/19/2015 6:00:00 AM,1,comp4
9/2/2015 6:00:00 AM,1,comp4
10/17/2015 6:00:00 AM,1,comp2
12/16/2015 6:00:00 AM,1,comp4
3/19/2015 6:00:00 AM,2,comp1
3/19/2015 6:00:00 AM,2,comp2
4/18/2015 6:00:00 AM,2,comp2
12/29/2015 6:00:00 AM,2,comp2
1/7/2015 6:00:00 AM,3,comp2
2/6/2015 6:00:00 AM,3,comp1
7/21/2015 6:00:00 AM,3,comp2
10/4/2015 6:00:00 AM,3,comp2
12/3/2015 6:00:00 AM,3,comp2
1/17/2015 6:00:00 AM,4,comp2
2/16/2015 6:00:00 AM,4,comp1
4/2/2015 6:00:00 AM,4,comp2
7/16/2015 6:00:00 AM,4,comp2
8/30/2015 6:00:00 AM,4,comp1
10/14/2015 6:00:00 AM,4,comp2
1/9/2015 6:00:00 AM,5,comp2
2/23/2015 6:00:00 AM,5,comp1
4/9/2015 6:00:00 AM,5,comp1
6/23/2015 6:00:00 AM,5,comp2
9/6/2015 6:00:00 AM,5,comp1
10/6/2015 6:00:00 AM,5,comp2
11/20/2015 6:00:00 AM,5,comp1
1/24/2015 6:00:00 AM,7,comp2
1/24/2015 6:00:00 AM,7,comp4
2/8/2015 6:00:00 AM,7,comp1
4/24/2015 6:00:00 AM,7,comp1
5/9/2015 6:00:00 AM,7,comp4
5/24/2015 6:00:00 AM,7,comp2
7/8/2015 6:00:00 AM,7,comp2
9/21/2015 6:00:00 AM,7,comp4
10/21/2015 6:00:00 AM,7,comp2
12/20/2015 6:00:00 AM,7,comp1
3/7/2015 6:00:00 AM,8,comp2
3/22/2015 6:00:00 AM,8,comp4
4/21/2015 6:00:00 AM,8,comp2
8/4/2015 6:00:00 AM,8,comp4
10/18/2015 6:00:00 AM,8,comp4
3/4/2015 6:00:00 AM,9,comp1
6/17/2015 6:00:00 AM,9,comp2
7/2/2015 6:00:00 AM,9,comp1
7/17/2015 6:00:00 AM,9,comp2
8/31/2015 6:00:00 AM,9,comp2
9/15/2015 6:00:00 AM,9,comp1
10/15/2015 6:00:00 AM,9,comp2
11/14/2015 6:00:00 AM,9,comp1
12/14/2015 6:00:00 AM,9,comp2
1/19/2015 6:00:00 AM,10,comp2
4/4/2015 6:00:00 AM,10,comp2
5/19/2015 6:00:00 AM,10,comp2
6/3/2015 6:00:00 AM,10,comp1
6/18/2015 6:00:00 AM,10,comp2
1/20/2015 6:00:00 AM,11,comp2
2/19/2015 6:00:00 AM,11,comp3
4/20/2015 6:00:00 AM,11,comp2
4/20/2015 6:00:00 AM,11,comp3
10/2/2015 6:00:00 AM,11,comp3
12/16/2015 6:00:00 AM,11,comp3
1/7/2015 6:00:00 AM,12,comp1
1/7/2015 6:00:00 AM,12,comp2
3/23/2015 6:00:00 AM,12,comp2
7/6/2015 6:00:00 AM,12,comp1
9/4/2015 6:00:00 AM,12,comp1
10/4/2015 6:00:00 AM,12,comp2
4/11/2015 6:00:00 AM,13,comp3
4/11/2015 6:00:00 AM,13,comp4
6/10/2015 6:00:00 AM,13,comp3
6/25/2015 6:00:00 AM,13,comp4
7/10/2015 6:00:00 AM,13,comp2
8/9/2015 6:00:00 AM,13,comp2
8/24/2015 6:00:00 AM,13,comp1
8/24/2015 6:00:00 AM,13,comp3
9/23/2015 6:00:00 AM,13,comp4
10/23/2015 6:00:00 AM,13,comp1
12/7/2015 6:00:00 AM,13,comp4
12/22/2015 6:00:00 AM,13,comp1
12/22/2015 6:00:00 AM,13,comp2
1/31/2015 6:00:00 AM,14,comp2
3/2/2015 6:00:00 AM,14,comp1
7/15/2015 6:00:00 AM,14,comp1
7/30/2015 6:00:00 AM,14,comp2
1/20/2015 6:00:00 AM,15,comp2
1/20/2015 6:00:00 AM,15,comp4
6/4/2015 6:00:00 AM,15,comp1
8/3/2015 6:00:00 AM,15,comp1
