datetime,machineID,comp
6/1/2014 6:00:00 AM,1,comp2
7/16/2014 6:00:00 AM,1,comp4
7/31/2014 6:00:00 AM,1,comp3
12/13/2014 6:00:00 AM,1,comp1
1/5/2015 6:00:00 AM,1,comp4
1/5/2015 6:00:00 AM,1,comp1
1/20/2015 6:00:00 AM,1,comp3
1/20/2015 6:00:00 AM,1,comp1
2/4/2015 6:00:00 AM,1,comp4
2/4/2015 6:00:00 AM,1,comp3
2/19/2015 6:00:00 AM,1,comp3
3/6/2015 6:00:00 AM,1,comp1
3/21/2015 6:00:00 AM,1,comp1
4/5/2015 6:00:00 AM,1,comp3
4/20/2015 6:00:00 AM,1,comp2
5/5/2015 6:00:00 AM,1,comp3
5/5/2015 6:00:00 AM,1,comp2
5/20/2015 6:00:00 AM,1,comp2
6/4/2015 6:00:00 AM,1,comp3
6/19/2015 6:00:00 AM,1,comp1
6/19/2015 6:00:00 AM,1,comp4
7/4/2015 6:00:00 AM,1,comp2
7/19/2015 6:00:00 AM,1,comp1
8/3/2015 6:00:00 AM,1,comp1
9/2/2015 6:00:00 AM,1,comp1
9/2/2015 6:00:00 AM,1,comp4
9/17/2015 6:00:00 AM,1,comp2
10/2/2015 6:00:00 AM,1,comp4
10/2/2015 6:00:00 AM,1,comp1
10/17/2015 6:00:00 AM,1,comp4
10/17/2015 6:00:00 AM,1,comp2
11/1/2015 6:00:00 AM,1,comp4
11/1/2015 6:00:00 AM,1,comp2
11/16/2015 6:00:00 AM,1,comp2
12/1/2015 6:00:00 AM,1,comp3
12/16/2015 6:00:00 AM,1,comp4
12/31/2015 6:00:00 AM,1,comp1
6/16/2014 6:00:00 AM,2,comp1
7/16/2014 6:00:00 AM,2,comp3
8/15/2014 6:00:00 AM,2,comp2
11/28/2014 6:00:00 AM,2,comp4
1/18/2015 6:00:00 AM,2,comp4
2/2/2015 6:00:00 AM,2,comp3
2/17/2015 6:00:00 AM,2,comp3
3/4/2015 6:00:00 AM,2,comp4
3/19/2015 6:00:00 AM,2,comp2
3/19/2015 6:00:00 AM,2,comp1
4/3/2015 6:00:00 AM,2,comp3
4/18/2015 6:00:00 AM,2,comp2
5/3/2015 6:00:00 AM,2,comp2
5/18/2015 6:00:00 AM,2,comp4
6/2/2015 6:00:00 AM,2,comp3
6/17/2015 6:00:00 AM,2,comp2
6/17/2015 6:00:00 AM,2,comp4
7/2/2015 6:00:00 AM,2,comp2
7/17/2015 6:00:00 AM,2,comp4
7/17/2015 6:00:00 AM,2,comp1
8/1/2015 6:00:00 AM,2,comp4
8/16/2015 6:00:00 AM,2,comp2
8/31/2015 6:00:00 AM,2,comp2
8/31/2015 6:00:00 AM,2,comp4
10/15/2015 6:00:00 AM,2,comp4
10/30/2015 6:00:00 AM,2,comp4
10/30/2015 6:00:00 AM,2,comp1
11/14/2015 6:00:00 AM,2,comp1
11/29/2015 6:00:00 AM,2,comp1
11/29/2015 6:00:00 AM,2,comp3
12/14/2015 6:00:00 AM,2,comp1
12/29/2015 6:00:00 AM,2,comp2
6/16/2014 6:00:00 AM,3,comp3
7/1/2014 6:00:00 AM,3,comp4
8/15/2014 6:00:00 AM,3,comp1
11/28/2014 6:00:00 AM,3,comp2
1/7/2015 6:00:00 AM,3,comp2
1/22/2015 6:00:00 AM,3,comp4
2/6/2015 6:00:00 AM,3,comp1
2/21/2015 6:00:00 AM,3,comp1
2/21/2015 6:00:00 AM,3,comp3
3/8/2015 6:00:00 AM,3,comp3
3/8/2015 6:00:00 AM,3,comp2
3/23/2015 6:00:00 AM,3,comp1
4/7/2015 6:00:00 AM,3,comp2
4/22/2015 6:00:00 AM,3,comp3
5/7/2015 6:00:00 AM,3,comp4
5/22/2015 6:00:00 AM,3,comp2
6/6/2015 6:00:00 AM,3,comp4
6/21/2015 6:00:00 AM,3,comp3
6/21/2015 6:00:00 AM,3,comp4
7/6/2015 6:00:00 AM,3,comp3
7/6/2015 6:00:00 AM,3,comp4
7/21/2015 6:00:00 AM,3,comp2
8/5/2015 6:00:00 AM,3,comp2
8/20/2015 6:00:00 AM,3,comp1
9/4/2015 6:00:00 AM,3,comp4
9/4/2015 6:00:00 AM,3,comp1
9/19/2015 6:00:00 AM,3,comp1
9/19/2015 6:00:00 AM,3,comp3
10/4/2015 6:00:00 AM,3,comp2
10/19/2015 6:00:00 AM,3,comp4
10/19/2015 6:00:00 AM,3,comp2
11/3/2015 6:00:00 AM,3,comp2
11/3/2015 6:00:00 AM,3,comp1
11/18/2015 6:00:00 AM,3,comp4
11/18/2015 6:00:00 AM,3,comp1
12/3/2015 6:00:00 AM,3,comp2
12/18/2015 6:00:00 AM,3,comp2
6/16/2014 6:00:00 AM,4,comp2
7/31/2014 6:00:00 AM,4,comp1
11/13/2014 6:00:00 AM,4,comp3
12/13/2014 6:00:00 AM,4,comp4
1/17/2015 6:00:00 AM,4,comp2
2/16/2015 6:00:00 AM,4,comp1
3/3/2015 6:00:00 AM,4,comp1
3/18/2015 6:00:00 AM,4,comp1
3/18/2015 6:00:00 AM,4,comp3
4/2/2015 6:00:00 AM,4,comp2
4/2/2015 6:00:00 AM,4,comp4
4/17/2015 6:00:00 AM,4,comp3
5/2/2015 6:00:00 AM,4,comp4
5/17/2015 6:00:00 AM,4,comp3
6/1/2015 6:00:00 AM,4,comp4
6/16/2015 6:00:00 AM,4,comp4
7/1/2015 6:00:00 AM,4,comp1
7/16/2015 6:00:00 AM,4,comp2
7/31/2015 6:00:00 AM,4,comp4
8/30/2015 6:00:00 AM,4,comp1
9/14/2015 6:00:00 AM,4,comp4
9/14/2015 6:00:00 AM,4,comp3
9/29/2015 6:00:00 AM,4,comp3
10/14/2015 6:00:00 AM,4,comp2
10/29/2015 6:00:00 AM,4,comp2
10/29/2015 6:00:00 AM,4,comp3
11/13/2015 6:00:00 AM,4,comp2
11/13/2015 6:00:00 AM,4,comp4
11/28/2015 6:00:00 AM,4,comp1
11/28/2015 6:00:00 AM,4,comp4
12/13/2015 6:00:00 AM,4,comp1
12/13/2015 6:00:00 AM,4,comp4
12/28/2015 6:00:00 AM,4,comp3
8/15/2014 6:00:00 AM,5,comp3
8/30/2014 6:00:00 AM,5,comp2
9/29/2014 6:00:00 AM,5,comp4
10/14/2014 6:00:00 AM,5,comp1
1/9/2015 6:00:00 AM,5,comp2
1/24/2015 6:00:00 AM,5,comp2
2/8/2015 6:00:00 AM,5,comp3
2/23/2015 6:00:00 AM,5,comp4
2/23/2015 6:00:00 AM,5,comp1
3/10/2015 6:00:00 AM,5,comp4
3/25/2015 6:00:00 AM,5,comp4
4/9/2015 6:00:00 AM,5,comp1
4/24/2015 6:00:00 AM,5,comp3
4/24/2015 6:00:00 AM,5,comp2
5/9/2015 6:00:00 AM,5,comp4
5/24/2015 6:00:00 AM,5,comp2
6/8/2015 6:00:00 AM,5,comp3
6/23/2015 6:00:00 AM,5,comp2
7/8/2015 6:00:00 AM,5,comp2
7/23/2015 6:00:00 AM,5,comp2
8/7/2015 6:00:00 AM,5,comp3
8/7/2015 6:00:00 AM,5,comp2
8/22/2015 6:00:00 AM,5,comp3
9/6/2015 6:00:00 AM,5,comp2
9/6/2015 6:00:00 AM,5,comp1
9/21/2015 6:00:00 AM,5,comp4
9/21/2015 6:00:00 AM,5,comp1
10/6/2015 6:00:00 AM,5,comp2
10/6/2015 6:00:00 AM,5,comp1
10/21/2015 6:00:00 AM,5,comp3
11/5/2015 6:00:00 AM,5,comp3
11/5/2015 6:00:00 AM,5,comp4
11/20/2015 6:00:00 AM,5,comp1
12/5/2015 6:00:00 AM,5,comp1
12/20/2015 6:00:00 AM,5,comp3
6/1/2014 6:00:00 AM,6,comp2
9/14/2014 6:00:00 AM,6,comp3
9/14/2014 6:00:00 AM,6,comp4
12/28/2014 6:00:00 AM,6,comp1
1/22/2015 6:00:00 AM,6,comp4
2/6/2015 6:00:00 AM,6,comp4
2/6/2015 6:00:00 AM,6,comp3
2/21/2015 6:00:00 AM,6,comp4
2/21/2015 6:00:00 AM,6,comp3
3/8/2015 6:00:00 AM,6,comp3
3/8/2015 6:00:00 AM,6,comp4
3/23/2015 6:00:00 AM,6,comp4
4/7/2015 6:00:00 AM,6,comp1
4/22/2015 6:00:00 AM,6,comp3
4/22/2015 6:00:00 AM,6,comp4
5/7/2015 6:00:00 AM,6,comp2
5/7/2015 6:00:00 AM,6,comp4
5/22/2015 6:00:00 AM,6,comp2
6/21/2015 6:00:00 AM,6,comp1
7/6/2015 6:00:00 AM,6,comp1
7/6/2015 6:00:00 AM,6,comp2
7/21/2015 6:00:00 AM,6,comp2
7/21/2015 6:00:00 AM,6,comp3
8/5/2015 6:00:00 AM,6,comp4
8/20/2015 6:00:00 AM,6,comp1
8/20/2015 6:00:00 AM,6,comp3
9/19/2015 6:00:00 AM,6,comp3
11/3/2015 6:00:00 AM,6,comp4
11/3/2015 6:00:00 AM,6,comp2
11/18/2015 6:00:00 AM,6,comp4
11/18/2015 6:00:00 AM,6,comp2
12/3/2015 6:00:00 AM,6,comp3
12/3/2015 6:00:00 AM,6,comp2
12/18/2015 6:00:00 AM,6,comp2
7/1/2014 6:00:00 AM,7,comp1
7/1/2014 6:00:00 AM,7,comp3
8/15/2014 6:00:00 AM,7,comp2
11/28/2014 6:00:00 AM,7,comp4
1/24/2015 6:00:00 AM,7,comp2
1/24/2015 6:00:00 AM,7,comp4
2/8/2015 6:00:00 AM,7,comp1
2/8/2015 6:00:00 AM,7,comp2
2/23/2015 6:00:00 AM,7,comp1
2/23/2015 6:00:00 AM,7,comp2
3/10/2015 6:00:00 AM,7,comp2
3/25/2015 6:00:00 AM,7,comp3
3/25/2015 6:00:00 AM,7,comp2
4/9/2015 6:00:00 AM,7,comp2
4/24/2015 6:00:00 AM,7,comp1
5/9/2015 6:00:00 AM,7,comp1
5/9/2015 6:00:00 AM,7,comp4
5/24/2015 6:00:00 AM,7,comp2
5/24/2015 6:00:00 AM,7,comp3
6/8/2015 6:00:00 AM,7,comp3
6/8/2015 6:00:00 AM,7,comp2
6/23/2015 6:00:00 AM,7,comp3
7/8/2015 6:00:00 AM,7,comp2
7/23/2015 6:00:00 AM,7,comp2
7/23/2015 6:00:00 AM,7,comp3
8/22/2015 6:00:00 AM,7,comp2
9/6/2015 6:00:00 AM,7,comp1
9/21/2015 6:00:00 AM,7,comp1
9/21/2015 6:00:00 AM,7,comp4
10/6/2015 6:00:00 AM,7,comp3
10/21/2015 6:00:00 AM,7,comp2
10/21/2015 6:00:00 AM,7,comp4
11/5/2015 6:00:00 AM,7,comp2
11/5/2015 6:00:00 AM,7,comp4
11/20/2015 6:00:00 AM,7,comp3
12/5/2015 6:00:00 AM,7,comp4
12/20/2015 6:00:00 AM,7,comp1
8/30/2014 6:00:00 AM,8,comp3
10/14/2014 6:00:00 AM,8,comp2
11/28/2014 6:00:00 AM,8,comp1
12/13/2014 6:00:00 AM,8,comp4
1/6/2015 6:00:00 AM,8,comp4
1/21/2015 6:00:00 AM,8,comp1
3/7/2015 6:00:00 AM,8,comp2
3/22/2015 6:00:00 AM,8,comp4
4/6/2015 6:00:00 AM,8,comp3
4/21/2015 6:00:00 AM,8,comp2
5/6/2015 6:00:00 AM,8,comp2
5/21/2015 6:00:00 AM,8,comp2
6/5/2015 6:00:00 AM,8,comp1
6/20/2015 6:00:00 AM,8,comp2
6/20/2015 6:00:00 AM,8,comp3
7/5/2015 6:00:00 AM,8,comp1
7/20/2015 6:00:00 AM,8,comp3
8/4/2015 6:00:00 AM,8,comp4
8/19/2015 6:00:00 AM,8,comp2
9/3/2015 6:00:00 AM,8,comp1
9/18/2015 6:00:00 AM,8,comp1
10/3/2015 6:00:00 AM,8,comp1
10/18/2015 6:00:00 AM,8,comp4
11/2/2015 6:00:00 AM,8,comp4
11/17/2015 6:00:00 AM,8,comp3
12/2/2015 6:00:00 AM,8,comp3
12/17/2015 6:00:00 AM,8,comp3
12/17/2015 6:00:00 AM,8,comp2
1/1/2016 6:00:00 AM,8,comp2
6/1/2014 6:00:00 AM,9,comp1
6/1/2014 6:00:00 AM,9,comp2
11/28/2014 6:00:00 AM,9,comp4
12/28/2014 6:00:00 AM,9,comp3
2/2/2015 6:00:00 AM,9,comp4
2/17/2015 6:00:00 AM,9,comp2
3/4/2015 6:00:00 AM,9,comp1
3/4/2015 6:00:00 AM,9,comp3
3/19/2015 6:00:00 AM,9,comp1
4/3/2015 6:00:00 AM,9,comp1
4/18/2015 6:00:00 AM,9,comp4
5/3/2015 6:00:00 AM,9,comp1
5/18/2015 6:00:00 AM,9,comp1
6/2/2015 6:00:00 AM,9,comp4
6/17/2015 6:00:00 AM,9,comp2
6/17/2015 6:00:00 AM,9,comp3
7/2/2015 6:00:00 AM,9,comp1
7/2/2015 6:00:00 AM,9,comp3
7/17/2015 6:00:00 AM,9,comp2
8/1/2015 6:00:00 AM,9,comp1
8/16/2015 6:00:00 AM,9,comp4
8/31/2015 6:00:00 AM,9,comp2
8/31/2015 6:00:00 AM,9,comp4
9/15/2015 6:00:00 AM,9,comp1
9/15/2015 6:00:00 AM,9,comp4
9/30/2015 6:00:00 AM,9,comp4
10/15/2015 6:00:00 AM,9,comp2
10/15/2015 6:00:00 AM,9,comp4
10/30/2015 6:00:00 AM,9,comp2
11/14/2015 6:00:00 AM,9,comp1
11/14/2015 6:00:00 AM,9,comp2
12/14/2015 6:00:00 AM,9,comp2
12/29/2015 6:00:00 AM,9,comp2
12/29/2015 6:00:00 AM,9,comp1
6/16/2014 6:00:00 AM,10,comp3
8/30/2014 6:00:00 AM,10,comp2
9/29/2014 6:00:00 AM,10,comp4
10/14/2014 6:00:00 AM,10,comp1
